Prel	transmission
0.951629	1.0087
0.951497	1.00677
0.951146	1.00696
0.950996	1.0052
0.950833	1.00572
0.950746	1.00994
0.950625	1.00728
0.950284	1.00849
0.950166	1.00075
0.95001	1.0042
0.949815	1.00646
0.949513	1.00657
0.949454	1.00798
0.949256	1.00916
0.949103	1.0068
0.948926	1.00607
0.948794	1.00581
0.948537	1.00615
0.948422	1.00612
0.948169	1.00917
0.947929	1.00593
0.947686	1.00462
0.947668	1.00583
0.9473	1.00549
0.947279	1.00509
0.947036	1.00519
0.946859	1.00175
0.946633	1.003
0.946491	1.00697
0.946203	1.00433
0.94606	1.00408
0.945897	1.00287
0.945668	1.00251
0.94549	1.00385
0.945386	1.00195
0.945028	1.00148
0.94498	1.00354
0.944862	1.00335
0.944747	1.00258
0.944414	1.00192
0.944292	1.00252
0.944108	1.00291
0.943757	1.00349
0.943715	1.00454
0.943507	1.00308
0.94326	1.00302
0.943194	1.00249
0.942916	1.00384
0.942649	1.00216
0.942632	1.00361
0.94235	1.00203
0.94201	1.00375
0.941958	1.00441
0.941774	1.00419
0.941572	1.00311
0.941402	1.00382
0.941246	1.00254
0.940923	1.00368
0.940898	1.00432
0.940794	1.00506
0.940422	1.00596
0.940346	1.0043
0.940183	1.00527
0.93996	1.00426
0.939686	1.00363
0.939596	1.00346
0.939266	1.00565
0.93913	1.00547
0.939134	1.00577
0.938797	1.00598
0.938491	1.00607
0.938421	1.0062
0.938293	1.00519
0.93805	1.01029
0.93796	1.00752
0.937633	1.00069
0.937484	1.00499
0.937365	1.00692
0.937174	1.00347
0.937067	1.00527
0.936803	1.00835
0.936678	0.999292
0.9364	1.00297
0.936396	1.00062
0.93615	0.999068
0.935854	0.998766
0.935608	1.00194
0.935604	1.00116
0.935448	1.00377
0.935087	1.00167
0.935128	1.00182
0.934955	1.00065
0.934673	1.0011
0.934684	1.00146
0.934434	1.00019
0.93417	0.996781
0.934211	0.995315
0.933919	0.993008
0.933683	0.992622
0.933506	0.993667
0.933461	0.984044
0.93327	0.987074
0.933058	0.980123
0.932836	0.977318
0.932766	0.972808
0.932669	0.961937
0.932478	0.949038
0.932346	0.932296
0.932197	0.92416
0.9322	0.908246
0.931922	0.891392
0.931807	0.873128
0.93179	0.851644
0.931537	0.83061
0.931533	0.805332
0.931377	0.778911
0.931234	0.75087
0.931127	0.725564
0.93113	0.698316
0.93104	0.671467
0.930932	0.643597
0.930849	0.617267
0.930724	0.588997
0.93064	0.562416
0.930745	0.534307
0.930585	0.50811
0.930567	0.480518
0.930508	0.457121
0.930404	0.433868
0.93031	0.409252
0.93031	0.39008
0.930248	0.370135
0.930189	0.34674
0.930175	0.333339
0.92998	0.316649
0.930109	0.300561
0.930196	0.284681
0.929928	0.266815
0.929935	0.251791
0.929914	0.2421
